Response ID,Timestamp (mm/dd/yyyy),Region,You are one step away from reaching the next level in an online game. What would you choose to accelerate your progress towards that goal? ,What approach would you prefer to earn a free smartwatch from the fitness program organized by your community? ,Your favorite restaurant is offering a promotion. Which of the following activities would you choose to do in order to receive the giveaway? ,When playing board games with your friends which of the following options best describes your strategy?,You participate in a lottery to win a pair of concert tickets featuring a popular band. What would you do to win the tickets?,When engaging in a new game for the very first time which of the following options best reflects your approach to playing?,When looking for a credit card which of the following factors holds the highest importance to you?,When coordinating an event what matters most to you?
129061288,4/6/2024 12:47,KY,1,2,3,2,3,1,3,2
129061294,4/6/2024 12:47,MA,3,3,3,3,2,1,2,2
129061329,4/6/2024 12:48,NY,2,2,3,1,2,3,3,2
129061393,4/6/2024 12:50,TX,2,1,3,1,1,1,3,2
129061396,4/6/2024 12:50,WI,3,3,1,3,4,1,3,2
129061398,4/6/2024 12:50,TX,1,3,1,2,1,1,3,4
129061455,4/6/2024 12:52,AZ,1,3,1,1,4,2,2,4
129061594,4/6/2024 12:55,,3,3,2,1,4,1,3,2
129061620,4/6/2024 12:55,PA,1,1,4,1,2,1,3,2
129061660,4/6/2024 12:56,NE,1,3,3,1,3,1,3,2
129061665,4/6/2024 12:56,OH,2,3,3,1,2,1,2,1
129061760,4/6/2024 12:58,MI,1,3,4,2,2,1,2,4
129061773,4/6/2024 12:59,PA,1,3,1,1,2,1,3,2
129061790,4/6/2024 12:59,AZ,1,3,1,2,1,1,3,4
129061809,4/6/2024 12:59,MO,2,3,1,1,2,1,3,4
129061829,4/6/2024 13:00,CA,3,3,4,1,4,1,2,2
129061895,4/6/2024 13:01,AL,2,3,1,3,4,1,3,3
129061938,4/6/2024 13:03,CA,3,3,1,3,3,1,3,4
129061945,4/6/2024 13:03,TX,2,1,4,2,2,1,3,2
129062031,4/6/2024 13:05,MI,2,3,1,2,2,1,3,4
129062043,4/6/2024 13:05,NY,2,3,3,2,4,1,3,2
129062112,4/6/2024 13:07,FL,1,1,1,2,1,1,3,4
129062130,4/6/2024 13:07,,1,3,1,2,4,4,3,4
129062165,4/6/2024 13:08,NM,3,3,4,1,1,1,3,2
129062204,4/6/2024 13:08,CO,1,3,3,1,2,1,3,4
129062227,4/6/2024 13:08,NY,1,3,4,1,2,1,3,2
129062246,4/6/2024 13:08,,1,3,1,1,2,1,3,4
129062269,4/6/2024 13:09,WA,2,3,1,1,4,4,3,2
129062286,4/6/2024 13:09,OK,1,2,3,1,1,1,3,4
129062318,4/6/2024 13:10,UT,1,2,3,2,2,3,3,2
129062328,4/6/2024 13:10,GA,1,2,1,1,3,1,3,4
129062332,4/6/2024 13:10,MA,2,2,1,3,2,1,3,2
129062334,4/6/2024 13:10,TX,1,3,3,1,1,1,3,4
129062353,4/6/2024 13:10,WI,2,1,4,1,2,1,3,3
129062362,4/6/2024 13:10,WA,1,3,4,1,2,1,3,4
129062369,4/6/2024 13:10,CA,1,3,3,2,1,1,3,2
129062391,4/6/2024 13:11,OK,2,3,1,1,3,1,3,2
129062402,4/6/2024 13:11,KS,1,3,4,1,2,1,3,2
129062414,4/6/2024 13:11,AZ,2,1,4,2,2,1,3,2
129062422,4/6/2024 13:11,NY,1,1,1,1,1,1,1,1
129062426,4/6/2024 13:11,NV,3,3,3,2,4,4,3,4
129062430,4/6/2024 13:11,OH,1,1,1,1,1,1,3,3
129062438,4/6/2024 13:11,LA,1,3,1,2,1,1,2,2
129062440,4/6/2024 13:12,FL,2,3,1,1,4,1,2,4
129062441,4/6/2024 13:12,CA,2,3,3,1,4,3,3,2
129062445,4/6/2024 13:12,CA,3,3,2,4,2,2,3,2
129062446,4/6/2024 13:12,GA,1,3,3,3,4,1,3,2
129062459,4/6/2024 13:12,FL,3,3,4,4,1,1,3,2
129062472,4/6/2024 13:12,CA,2,2,4,1,2,1,3,4
129062475,4/6/2024 13:12,NC,3,3,3,2,1,1,3,4
129062478,4/6/2024 13:12,CO,1,3,1,1,2,1,3,2
129062482,4/6/2024 13:13,NJ,2,3,4,2,3,1,2,4
129062486,4/6/2024 13:13,,1,1,1,1,2,3,3,2
129062492,4/6/2024 13:13,NC,2,3,3,1,1,1,2,4
129062498,4/6/2024 13:13,NC,1,3,1,1,3,1,3,4
129062501,4/6/2024 13:13,TX,1,3,1,1,2,2,3,2
129062502,4/6/2024 13:13,CT,1,3,1,1,1,1,3,2
129062506,4/6/2024 13:13,CA,2,3,3,1,2,1,3,2
129062511,4/6/2024 13:13,IL,1,3,1,1,2,1,3,2
129062532,4/6/2024 13:14,IL,3,1,3,1,2,3,3,4
129062539,4/6/2024 13:14,SC,2,1,3,2,2,1,3,4
129062540,4/6/2024 13:14,TX,3,3,1,3,4,1,3,4
129062542,4/6/2024 13:14,CO,1,3,3,1,2,1,3,4
129062550,4/6/2024 13:14,AL,2,3,1,1,2,3,3,4
129062562,4/6/2024 13:14,,1,3,1,2,1,1,3,2
129062570,4/6/2024 13:14,OH,1,3,1,1,1,1,3,4
129062580,4/6/2024 13:15,MD,2,3,3,1,1,1,3,2
129062584,4/6/2024 13:15,FL,1,3,1,2,1,4,3,2
129062590,4/6/2024 13:15,CA,2,3,1,1,4,1,3,4
129062598,4/6/2024 13:15,LA,1,3,3,1,2,1,3,4
129062605,4/6/2024 13:15,,1,1,4,1,2,1,2,4
129062606,4/6/2024 13:15,MD,1,3,2,3,2,1,3,4
129062631,4/6/2024 13:16,OH,3,3,3,1,1,3,3,4
129062647,4/6/2024 13:16,NE,1,4,2,3,1,1,2,2
129062652,4/6/2024 13:16,MS,2,2,4,1,2,1,3,2
129062660,4/6/2024 13:17,TX,2,3,3,2,2,1,4,3
129062674,4/6/2024 13:17,,1,3,3,1,1,4,2,4
129062675,4/6/2024 13:17,HI,1,3,1,1,1,1,3,4
129062681,4/6/2024 13:17,MO,1,1,3,2,2,4,2,3
129062683,4/6/2024 13:17,TX,1,3,1,3,1,1,2,1
129062696,4/6/2024 13:17,AL,1,3,1,2,1,1,3,4
129062702,4/6/2024 13:18,NY,1,3,3,1,2,1,3,2
129062703,4/6/2024 13:18,CA,1,3,1,1,1,1,2,3
129062711,4/6/2024 13:18,NC,1,3,1,1,4,1,3,2
129062733,4/6/2024 13:18,LA,3,2,3,3,1,1,3,3
129062739,4/6/2024 13:18,OH,3,2,4,2,4,4,3,3
129062743,4/6/2024 13:18,,2,3,3,2,4,1,3,2
129062749,4/6/2024 13:19,TX,1,3,4,1,4,1,3,4
129062750,4/6/2024 13:19,TX,2,3,1,1,2,1,3,2
129062770,4/6/2024 13:19,OK,1,3,1,3,4,1,3,4
129062774,4/6/2024 13:19,MI,2,3,1,1,2,3,3,3
129062781,4/6/2024 13:20,KS,2,1,1,1,3,1,3,2
129062792,4/6/2024 13:20,PA,2,3,4,2,2,1,3,2
129062813,4/6/2024 13:21,VA,1,1,1,2,2,1,3,4
129062834,4/6/2024 13:21,MA,1,3,1,3,2,1,3,4
129062835,4/6/2024 13:21,PA,1,2,1,3,4,3,3,2
129062841,4/6/2024 13:21,IN,3,3,1,2,2,3,3,2
129062848,4/6/2024 13:21,WA,1,3,3,1,2,3,3,4
129062849,4/6/2024 13:21,IN,1,3,1,2,1,3,3,2
129062855,4/6/2024 13:22,MD,1,3,1,1,2,1,3,4
129062871,4/6/2024 13:22,NJ,3,3,4,1,2,1,2,4
129062884,4/6/2024 13:22,CA,1,3,3,2,3,1,3,4
129062890,4/6/2024 13:22,CO,2,3,3,1,2,1,3,4
129062893,4/6/2024 13:22,CA,1,3,4,1,1,1,3,4
129062906,4/6/2024 13:23,DE,1,3,1,1,1,3,3,3
129062924,4/6/2024 13:23,CT,2,1,3,2,1,4,3,4
129062935,4/6/2024 13:23,ID,1,3,3,1,2,1,3,1
129062939,4/6/2024 13:23,NY,2,1,4,2,4,1,3,2
129062941,4/6/2024 13:23,TX,1,3,2,3,4,2,3,2
129062943,4/6/2024 13:23,NM,2,3,1,1,2,1,3,2
129062953,4/6/2024 13:24,TX,1,1,1,1,2,1,3,2
129062984,4/6/2024 13:24,FL,1,3,1,1,2,1,3,4
129062985,4/6/2024 13:24,CA,1,3,1,1,1,1,3,3
129063004,4/6/2024 13:25,SC,2,3,1,1,1,1,3,2
129063011,4/6/2024 13:25,NJ,1,3,3,3,2,3,2,3
129063014,4/6/2024 13:25,WA,1,1,4,1,1,1,3,2
129063019,4/6/2024 13:25,NV,2,3,1,1,4,1,3,4
129063029,4/6/2024 13:25,FL,1,1,4,1,2,4,2,2
129063049,4/6/2024 13:26,AL,2,3,1,3,2,1,3,4
129063057,4/6/2024 13:26,MA,3,3,1,3,2,4,2,2
129063065,4/6/2024 13:26,NC,1,3,4,2,4,1,3,4
129063067,4/6/2024 13:26,FL,1,3,3,4,1,1,3,4
129063085,4/6/2024 13:26,GA,1,3,3,1,2,1,3,3
129063099,4/6/2024 13:27,MI,1,3,1,1,2,1,3,2
129063279,4/6/2024 13:31,OK,2,3,2,3,2,3,2,2
129064311,4/6/2024 14:00,GA,1,3,4,1,2,1,3,4
